α: 0.2830800499085101, weights: {'N': 9, 'B': 9, 'R': 5, 'Q': 8, 'P': 1, 'K': 0}, won: 40 
α: 0.8357194386485612, weights: {'N': 3, 'B': 4, 'R': 7, 'Q': 4, 'P': 1, 'K': 0}, won: 40 
α: 0.6173872700097571, weights: {'N': 9, 'B': 9, 'R': 4, 'Q': 3, 'P': 1, 'K': 0}, won: 40 
α: 0.548246013722331, weights: {'N': 6, 'B': 3, 'R': 9, 'Q': 9, 'P': 1, 'K': 0}, won: 39 
α: 0.362194253111751, weights: {'N': 4, 'B': 4, 'R': 3, 'Q': 6, 'P': 1, 'K': 0}, won: 39 
α: 0.46599780871563057, weights: {'N': 9, 'B': 3, 'R': 6, 'Q': 6, 'P': 1, 'K': 0}, won: 39 
α: 0.817157467728701, weights: {'N': 5, 'B': 7, 'R': 8, 'Q': 5, 'P': 1, 'K': 0}, won: 39 
α: 0.807834445840814, weights: {'N': 3, 'B': 4, 'R': 9, 'Q': 4, 'P': 1, 'K': 0}, won: 39 
α: 0.475710622361444, weights: {'N': 7, 'B': 4, 'R': 5, 'Q': 4, 'P': 1, 'K': 0}, won: 39 
α: 0.6669289604306735, weights: {'N': 7, 'B': 7, 'R': 6, 'Q': 7, 'P': 1, 'K': 0}, won: 39 
α: 0.3287490113755782, weights: {'N': 3, 'B': 3, 'R': 7, 'Q': 6, 'P': 1, 'K': 0}, won: 39 
α: 0.5025443660685878, weights: {'N': 3, 'B': 9, 'R': 8, 'Q': 4, 'P': 1, 'K': 0}, won: 38 
α: 0.35151804980162715, weights: {'N': 8, 'B': 9, 'R': 7, 'Q': 3, 'P': 1, 'K': 0}, won: 38 
α: 0.20356743762474172, weights: {'N': 8, 'B': 6, 'R': 6, 'Q': 6, 'P': 1, 'K': 0}, won: 38 
α: 0.29151403484877336, weights: {'N': 7, 'B': 3, 'R': 9, 'Q': 4, 'P': 1, 'K': 0}, won: 37 
α: 0.4105677085280476, weights: {'N': 6, 'B': 4, 'R': 4, 'Q': 7, 'P': 1, 'K': 0}, won: 37 
α: 0.5690443389012302, weights: {'N': 5, 'B': 4, 'R': 5, 'Q': 5, 'P': 1, 'K': 0}, won: 37 
α: 0.9132499890922456, weights: {'N': 7, 'B': 5, 'R': 9, 'Q': 6, 'P': 1, 'K': 0}, won: 36 
α: 0.32126575803795165, weights: {'N': 5, 'B': 9, 'R': 3, 'Q': 4, 'P': 1, 'K': 0}, won: 36 
α: 0.3990612016524627, weights: {'N': 4, 'B': 4, 'R': 8, 'Q': 8, 'P': 1, 'K': 0}, won: 36 
α: 0.9179391639383693, weights: {'N': 3, 'B': 5, 'R': 9, 'Q': 8, 'P': 1, 'K': 0}, won: 36 
α: 0.3458612056912135, weights: {'N': 5, 'B': 5, 'R': 7, 'Q': 7, 'P': 1, 'K': 0}, won: 36 
α: 0.799632675047327, weights: {'N': 9, 'B': 3, 'R': 6, 'Q': 9, 'P': 1, 'K': 0}, won: 36 
α: 0.6512115887558749, weights: {'N': 3, 'B': 4, 'R': 6, 'Q': 3, 'P': 1, 'K': 0}, won: 35 
α: 0.7755593030718052, weights: {'N': 6, 'B': 9, 'R': 7, 'Q': 4, 'P': 1, 'K': 0}, won: 35 
α: 0.35644358851093605, weights: {'N': 4, 'B': 8, 'R': 4, 'Q': 5, 'P': 1, 'K': 0}, won: 34 
